,precision,recall,f1-score,support
#,0.9064377682403434,0.9255039439088519,0.9158716392020817,1141.0
AA,0.6132075471698113,0.6280193236714976,0.6205250596658711,207.0
AE,0.75,0.6867469879518072,0.7169811320754716,166.0
AH,0.7561475409836066,0.7639751552795031,0.7600411946446962,483.0
AO,0.8539325842696629,0.8,0.8260869565217391,95.0
AW,0.8125,0.8387096774193549,0.8253968253968254,31.0
AY,0.8082191780821918,0.7195121951219512,0.7612903225806452,82.0
B,0.993421052631579,1.0,0.9966996699669968,151.0
CH,0.84,0.6363636363636364,0.7241379310344828,33.0
D,1.0,0.98828125,0.9941060903732809,256.0
DH,0.5,0.4,0.4444444444444445,5.0
EH,0.7412935323383084,0.8054054054054054,0.7720207253886009,185.0
ER,0.8697674418604651,0.8947368421052632,0.8820754716981132,209.0
EY,0.6712328767123288,0.6282051282051282,0.6490066225165563,78.0
F,1.0,1.0,1.0,93.0
G,0.9473684210526315,0.9375,0.9424083769633508,96.0
HH,0.9473684210526315,0.9473684210526315,0.9473684210526315,57.0
IH,0.8238636363636364,0.8454810495626822,0.8345323741007193,343.0
IY,0.8837209302325582,0.8113879003558719,0.8460111317254175,281.0
JH,0.86,0.8958333333333334,0.8775510204081632,48.0
K,0.9863481228668942,0.9897260273972602,0.988034188034188,292.0
L,0.9972527472527473,0.9972527472527473,0.9972527472527473,364.0
M,1.0,1.0,1.0,240.0
N,0.9978070175438597,0.9912854030501089,0.9945355191256832,459.0
NG,0.948051948051948,0.9864864864864865,0.9668874172185431,74.0
OW,0.8717948717948718,0.8607594936708861,0.8662420382165605,158.0
OY,0.9166666666666666,1.0,0.9565217391304348,11.0
P,0.993103448275862,1.0,0.9965397923875432,144.0
R,0.9347181008902077,0.9292035398230089,0.9319526627218934,339.0
S,0.9476923076923077,0.9595015576323987,0.9535603715170278,321.0
SH,0.8928571428571429,0.9090909090909091,0.9009009009009009,55.0
T,0.9863013698630136,0.9863013698630136,0.9863013698630136,365.0
TH,0.896551724137931,0.9285714285714286,0.912280701754386,28.0
UH,0.7391304347826086,0.85,0.7906976744186046,20.0
UW,0.8688524590163934,0.8412698412698413,0.8548387096774194,63.0
V,1.0,0.971830985915493,0.9857142857142858,71.0
W,0.9272727272727272,0.9622641509433962,0.9444444444444444,53.0
Y,0.7333333333333333,0.6875,0.7096774193548386,16.0
Z,0.8918918918918919,0.8761061946902655,0.8839285714285714,113.0
ZH,1.0,0.3333333333333333,0.5,3.0
